keyword,group,title,summary,date,link,source
GDP Việt Nam,vi_mo,"GDP của Việt Nam ước tăng 7,09% trong năm 2024 - Báo Quân đội nhân dân","GDP của Việt Nam ước tăng 7,09% trong năm 2024  Báo Quân đội nhân dân",2025-01-06,https://news.google.com/rss/articles/CBMikgFBVV95cUxQVlBUaldCOEdtbGhZaGtFcEI1U0UzSlRVWmk3QlhyWmc4WFRRMlM1d2VzcVF6ZGljSWpQVUV2bTI5NkRPUlFmSVpIa29waWJjSk1TMTRsTWwtMkJaZnVwbzdhX05aSnBoXzBiRGRMc2lIMnJvYTVBTWVteF9QS2RfVTVYRGpxQ3NFZmo1bzBzSmNmQQ?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.qdnd.vn', 'title': 'Báo Quân đội nhân dân'}"
GDP Việt Nam,vi_mo,"Kinh tế Việt Nam sau hơn 30 năm: Quy mô GDP tăng 246 lần, thu nhập tăng 17 lần - Báo VietNamNet","Kinh tế Việt Nam sau hơn 30 năm: Quy mô GDP tăng 246 lần, thu nhập tăng 17 lần  Báo VietNamNet",2025-04-30,https://news.google.com/rss/articles/CBMisAFBVV95cUxPcVV4bmRHNFZxb2MyR2RMRkhyenc0b2FlbDhXdTlBX0VwRlE4bTZGelRkc05tb2t0cWxFdlNqZVZuakpyT3pLTE1CcEllWHRPOFNWV1ZMY0RTSVFEU1c1NlRtenBRT1F5amszemIzdkdlbGoxUlQ4TmlqWnZOMlpsMXdvRUxoVGZyZFRoaHJ2VFVoSVdkSkdndlhVUjZsRk90TGpRYjZLX0tGd21WSjJXcA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://vietnamnet.vn', 'title': 'Báo VietNamNet'}"
GDP Việt Nam,vi_mo,Báo cáo tình hình kinh tế – xã hội quý IV và năm 2024 – General Statistics Office of Vietnam - General Statistics Office of Vietnam,Báo cáo tình hình kinh tế – xã hội quý IV và năm 2024 – General Statistics Office of Vietnam  General Statistics Office of Vietnam,2025-01-03,https://news.google.com/rss/articles/CBMilgFBVV95cUxNYmZmVXE3WjB3WnZVZ1NXVnl1YUc0dHJEc2NFeFpLTDlRUUlQcFJEMUU5bmp6a0V6ci0wMWluOW1TdkNqMmR4UHRWNFl3RlhrcG9sek04NXo4MmxsbFI2ek1XeEw3ZDdoSU1Xel9aSDFqT09lelJsdWlScVRwbU9WdjBLdDRLeDZYeXJVS0pLcXJ4dzV3dFE?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nso.gov.vn', 'title': 'General Statistics Office of Vietnam'}"
GDP Việt Nam,vi_mo,"Việt Nam vừa lập kỷ lục tăng trưởng GDP, mục tiêu vào top 30 nền kinh tế lớn thế giới - CafeF","Việt Nam vừa lập kỷ lục tăng trưởng GDP, mục tiêu vào top 30 nền kinh tế lớn thế giới  CafeF",2025-05-05,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQbGJRandjTU5TVHB5MS1LREhoQlYzY2FTY3MyVnBuWDJvZ3BJWmZ3VmVWaE5wbFU4R2xMN1YtMldMZnVENnN2cnZxbjItZFU4WUVTYWp5MHd5WDctSE1UcFpCLU1ZLXRDdldVa2o4M0ZqcktUbVpZNi16c2R2WXF3ZDdPMm9Zc1BmeDhneDJKMzVYVVFobXpxcDRMS0VRQkVFbUtGOHZ4OXdyRm0wQ3ZVem1LNUlWNXpEZU93cktMMzE?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://cafef.vn', 'title': 'CafeF'}"
GDP Việt Nam,vi_mo,"Kinh tế năm 2024: Tăng trưởng khá, GDP đạt 7,09% - vneconomy.vn","Kinh tế năm 2024: Tăng trưởng khá, GDP đạt 7,09%  vneconomy.vn",2025-01-30,https://news.google.com/rss/articles/CBMiekFVX3lxTE9tUzV1WkFxZm1lWV81NFluMmozUmVTd3VkMklCNVBoeWFYT0o2WnF5Q0FCclRfekhqWkg5OE51SDUxUFd6LTRteFZjdVRZSGhUT1B4bXFtcHlfVVQtaURKOHBmTG9La0YtekZ2c1FjWDYtekVHNkhGMk53?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://vneconomy.vn', 'title': 'vneconomy.vn'}"
GDP Việt Nam,vi_mo,GDP Việt Nam 2025 chạm mốc 500 tỷ USD: Tiến vào kỷ nguyên tăng trưởng bứt phá - Báo Thanh tra,GDP Việt Nam 2025 chạm mốc 500 tỷ USD: Tiến vào kỷ nguyên tăng trưởng bứt phá  Báo Thanh tra,2025-02-28,https://news.google.com/rss/articles/CBMi5gFBVV95cUxOTjMwbTBhZmVYaWNEdEV6VGs0Vmk0M2hzVVhJRnhlaWxSMkU0RGtJSnJWXzI3TDNIbWpZdVRBZElKUTNFUjR4NmFiX0Y5c2FtZ0cyNzUwdl9JaGJka3FHSjlQRHFIbV82ZVpNdVByV3RIbEx6bEdvTlJyY3hGWFlxQWVWaUh4cURXRVdDWWVEU1UwdTdlTlR5RjFLb2ZiRlo1SFE2ckRwOGF6STV1Wm0tYTUwUDVyZXNaWEZlSjhNVDRfOUtfTEVfOXlzV3g3SmE4S1FnOE4zR3Q5QmZvM0V3a2JISl91Zw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://thanhtra.com.vn', 'title': 'Báo Thanh tra'}"
GDP Việt Nam,vi_mo,"World Bank dự báo GDP Việt Nam năm 2025 tăng trưởng 6,6% - Mekong ASEAN","World Bank dự báo GDP Việt Nam năm 2025 tăng trưởng 6,6%  Mekong ASEAN",2025-01-20,https://news.google.com/rss/articles/CBMikgFBVV95cUxOLVVzRzlsWkE4SGFzSFFUbnBQUzFOdmo4cUFZWl9zeVNIcDQ2NFdiSUJ2VmtwQ0RObUVIRy1mcVNxOWVjWUlNbGdrTzJSYTR6S3JMa3czOEF3Y000RUQxUkdKMDNCSEdfTlhvRlRmcjVPbDVpVG1ZT1BZa1EzS2ZxZDFqVVNPSUhyXy1kMGZFUExlZw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://mekongasean.vn', 'title': 'Mekong ASEAN'}"
GDP Việt Nam,vi_mo,Dự báo mới nhất về tăng trưởng GDP Việt Nam năm 2025 - Laodong.vn,Dự báo mới nhất về tăng trưởng GDP Việt Nam năm 2025  Laodong.vn,2025-04-30,https://news.google.com/rss/articles/CBMimgFBVV95cUxNLTVJcDFPblBwOER0cm91YkNrQWZQVEVPeWtKRW8yUnZVTUdTTnZDZmFUemZMV2NoTzc3RjBSb0NXcmhjclZNdkVRY0hsYjdMRG5CNGlzRnhOUi1ac0lqcWw1S25rSHVHQ3AtU21qSlFVSHRNVUdsTWdzRGs4NjQxa0hOMTgyM2tKdmN1Sk9hbll0VFJobXZhZm5B?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://laodong.vn', 'title': 'Laodong.vn'}"
GDP Việt Nam,vi_mo,"GDP Việt Nam năm 2024 tăng trưởng ấn tượng 7,09% - Báo Dân trí","GDP Việt Nam năm 2024 tăng trưởng ấn tượng 7,09%  Báo Dân trí",2025-01-06,https://news.google.com/rss/articles/CBMiowFBVV95cUxQbWhxYkQwbHc4UFhJSWRxb3VjUXRQeS1laDZNWDBPcVpNdkx3WWtPWGRnUElvMENMZ1R6eHlNenJWTjNIdWhlaU5laUJWeVl0emkzMkwza0lUR01EWUcyaUlXQnctaDJhVlZ6amh5M0FKN0lYNzlxOHExM2gzTlRDZ3JlTFI1WDUyVXZaNnZKSXE3LTZYYkhUVHNaeVlvLVZIME1F?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://dantri.com.vn', 'title': 'Báo Dân trí'}"
GDP Việt Nam,vi_mo,"GDP Việt Nam 2025 hướng tới 500 tỷ USD, tăng trưởng trên 8% - theleader.vn","GDP Việt Nam 2025 hướng tới 500 tỷ USD, tăng trưởng trên 8%  theleader.vn",2025-05-05,https://news.google.com/rss/articles/CBMilAFBVV95cUxQRkE2WWthMmowa0NMVFJEUF9yakZFZXgtUndPZUxvNmNMZjVXa2R6eFJPUlBuX3ZxU2xXSGItNGxRY3BqQWFOaUtzOWlNaU50RERXZEVHUkVScU5nS25KLTNIRm1kek1FMUwzU3FqZGlubHV0dXRqY0lCcDl0anNiSHVIS0tfcXJUUzM2NFgxNnItZkF2?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://theleader.vn', 'title': 'theleader.vn'}"
